Code,Name,MainGroup,SubTags,Industry,GroupSize
2314,台揚,網通,"5G, CES, O-RAN, 衛星/低軌衛星, 通訊設備","低雜訊降頻器, 小型衛星地面站, 網通設備, 衛星通訊設備",92
2316,楠梓電,PCB,"A股入摩, PCB, PCB-製造","印刷電路板, 印刷電路板相關, 電子製造服務, 電腦系統業",64
2317,鴻海,"AI, 塑膠, 網通, 蘋果供應鏈, 連接器, 電動車, 面板","3D感測, 5G, AWS, Apple蘋果, A股入摩, CES, Chromebook, EMS, GB300, HPC, MIH, MWC, Micro LED, Oracle甲骨文, PS5, Type-c, iPhone, 任天堂Switch, 共享單車, 小米, 智慧音箱, 無線充電, 穿載裝置, 車聯網, 連接器","AI伺服器, ASIC伺服器, INTERNET技術與基礎設施, 伺服器, 印表機, 家電, 平板電腦, 手機, 手機製造, 桌上型電腦, 機器人, 消費性電子產品, 液晶電視, 穿戴式裝置, 筆記型電腦製造, 網通設備, 衛星通訊設備, 視訊轉換相關, 語音助理, 車用電子, 車輛整車, 連接器, 週邊產品, 遊戲機, 遊戲產業, 雲端科技, 電動車, 電子書閱讀器, 電子製造服務, 電子零件元件, 電腦系統業, 顯示器","40, 62, 92, 29, 41, 54, 91"
2321,東訊,網通,通訊設備,"智慧電網相關, 消費性電子產品, 網通設備, 電力設備, 電話／傳真機",92
2323,中環,IC代工,"其他, 文創","IC製造, 光碟片, 週邊產品, 非揮發性記憶體",31
2324,仁寶,蘋果供應鏈,"Apple蘋果, Chromebook, FANG, MWC, 居家辦公(WFH), 無線充電, 長期照護","AI伺服器, 伺服器, 家電, 平板電腦, 手機, 手機製造, 智慧型手機, 消費性電子產品, 液晶電視, 穿戴式裝置, 筆記型電腦製造, 網通設備, 車用電子, 電子製造服務, 電腦系統業, 顯示器",29
2327,國巨*,"蘋果供應鏈, 被動元件","Apple蘋果, 被動元件, 車聯網, 電容","MLCC, 晶片電阻, 被動元件, 鉭質電解電容, 電容, 電感","29, 49"
2328,廣宇,連接器,"A股入摩, 連接元件, 連接器","連接器, 連接線材, 電子製造服務, 電子零件元件, 電腦系統業",41
2329,華泰,封測,"ADAS, IC-封測","IC封裝, IC封裝測試, IC測試, 電子製造服務, 電腦系統業",26
2330,台積電,"AI, IC代工, 塑膠, 網通, 蘋果供應鏈","3DIC聯盟, 3D感測, AI PC, AI人工智慧, AMD, AWS, ChatGPT, CoWoS, DANCE, FANG, HPC, IC-代工, MWC, NFC, PS5, TPU, iPhone, 人臉辨識, 任天堂Switch, 元宇宙, 功率半導體, 指紋辨識, 智慧音箱, 次世代半導體, 氣候變遷, 無線充電, 虛擬貨幣, 行動支付, 車聯網","IC生產, IC製造, 晶圓代工","40, 31, 62, 92, 29"
2331,精英,電子通路,"AMD, 主機板, 資訊月","主機板, 平板電腦, 桌上型電腦, 消費性電子產品, 筆記型電腦製造, 繪圖卡, 電腦系統業",256
2332,友訊,網通,"5G, MWC, 網通","安全監控, 工業電腦, 無線網路設備系統(WLAN), 網路交換器, 網通設備, 資安設備",92
2337,旺宏,記憶體,"ADAS, IC-製造, 任天堂Switch","IC生產, IC製造, 非揮發性記憶體",27
2338,光罩,半導體設備,IC-半導體設備,"IC製造, 光罩",109
2340,台亞,面板,"LED及光元件, 次世代半導體","LED, LED晶粒, LED照明產品, 二極體, 分離式元件, 電晶體",91
2342,茂矽,IC代工,"功率半導體, 次世代半導體","IC製造, 晶圓代工",31
2344,華邦電,"AI, 記憶體","ADAS, AI PC, FANG, IC-製造, 人臉辨識, 行動支付, 記憶體","DRAM, IC生產, IC製造, 非揮發性記憶體","40, 27"
2345,智邦,"光通訊, 網通","AWS, DANCE, O-RAN, 光通訊, 網通, 遠距教學","網路交換器, 網通設備","46, 92"
2347,聯強,"IC設計, 電子通路",雙十一,"IC零組件通路商, 手機零售通路商, 電子元件代理商, 電子通路, 電腦通路商","108, 256"
2348,海悅,營建,,"地產, 房屋代銷, 營建",122
2349,錸德,半導體設備,長期照護,"儲存設備, 光碟片, 硬碟相關, 記憶卡, 週邊產品",109
2351,順德,封測,"IC-導線架, 功率半導體","傳產其他, 封測服務與材料, 導線架, 文具",26
2352,佳世達,"生技醫療, 網通, 面板","智慧醫療, 無人機, 長照, 顯示器","LCD顯示器, 其他醫療器材, 安全監控, 工業電腦, 掃瞄器, 網通設備, 診斷與監測用醫材, 週邊產品, 醫學影像裝置, 醫療服務, 醫療管理服務, 醫療耗材, 電子製造服務, 電腦系統業, 顯示器","134, 92, 91"
2353,宏碁,網通,"5G, AMD, Chromebook, MWC, 居家辦公(WFH), 智慧城市, 無線充電, 筆記型電腦, 資訊月, 雙十一, 電商, 電競","AI伺服器, 伺服器, 平板電腦, 投影機, 教育筆電, 桌上型電腦, 消費性電子產品, 筆記型電腦, 週邊產品, 電競筆電, 電競週邊, 電腦系統業, 顯示器",92
2354,鴻準,"塑膠, 散熱, 蘋果供應鏈","GB300, PS5, iPhone, 任天堂Switch, 散熱模組","散熱模組, 筆記型電腦用散熱模組, 鎂鋁合金, 電子製造服務, 電子零件元件, 電腦系統業","62, 16, 29"
2355,敬鵬,PCB,"PCB, PCB-製造","印刷電路板, 印刷電路板相關",64
